NO_OF_FRAMES	5500
NO_OF_CAMERAS	11
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-26, 18:32:39.510	442281.92392820
DATA_INCLUDED	6D
BODY_NAMES	karlax_bottompart	karlax_upperpart
BODY_FILTERS	No filter	No filter
karlax_bottompart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		karlax_upperpart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
187.79432	88.02153	954.57808	81.49537	76.30958	176.42049	0.61396	-0.23621	-0.94980	0.20515	-0.01478	-0.20759	-0.97810	0.97159	-0.23407	0.03500		204.24815	155.72571	1191.09821	-171.90259	85.84634	62.83447	0.45734	0.03307	-0.94496	0.32550	-0.06444	-0.32702	-0.94282	0.99737	0.01020	-0.07171	
187.74578	87.43306	954.78224	81.27159	76.30405	176.64417	0.63118	-0.23636	-0.94978	0.20504	-0.01386	-0.20770	-0.97809	0.97157	-0.23403	0.03593		204.09777	155.36655	1191.24245	-172.30121	85.89504	63.18307	0.46425	0.03229	-0.94469	0.32637	-0.06389	-0.32782	-0.94258	0.99743	0.00959	-0.07094	
187.77825	86.78211	954.96423	80.98177	76.22758	176.90587	0.63580	-0.23772	-0.94938	0.20533	-0.01285	-0.20830	-0.97798	0.97125	-0.23512	0.03732		203.90984	154.91635	1191.37642	-173.22183	85.97662	64.06671	0.45961	0.03068	-0.94451	0.32706	-0.06310	-0.32839	-0.94243	0.99754	0.00828	-0.06967	
187.86408	86.06804	955.12853	80.67555	76.15063	177.17259	0.63386	-0.23908	-0.94894	0.20580	-0.01181	-0.20909	-0.97783	0.97093	-0.23621	0.03878		203.71129	154.33937	1191.52214	-174.42290	86.07990	65.22375	0.48011	0.02865	-0.94429	0.32788	-0.06207	-0.32906	-0.94227	0.99766	0.00664	-0.06804	
188.03533	85.33870	955.28850	80.25982	76.03174	177.51671	0.61483	-0.24116	-0.94821	0.20673	-0.01046	-0.21046	-0.97755	0.97043	-0.23790	0.04084		203.51662	153.68597	1191.68920	-174.84570	86.17545	65.57819	0.47856	0.02758	-0.94391	0.32906	-0.06073	-0.33016	-0.94197	0.99777	0.00599	-0.06643	
188.21337	84.42266	955.47725	79.88924	76.00054	177.86647	0.62721	-0.24175	-0.94803	0.20687	-0.00901	-0.21099	-0.97745	0.97030	-0.23816	0.04247		203.34621	152.98046	1191.87008	-175.14803	86.28690	65.85394	0.46405	0.02649	-0.94376	0.32956	-0.05909	-0.33058	-0.94193	0.99790	0.00548	-0.06453	
188.45997	83.50272	955.63156	79.37639	75.89526	178.33647	0.62149	-0.24359	-0.94747	0.20726	-0.00707	-0.21195	-0.97725	0.96985	-0.23952	0.04493		203.16405	152.18070	1192.04019	-176.53397	86.42094	67.18607	0.48769	0.02420	-0.94348	0.33055	-0.05754	-0.33141	-0.94173	0.99805	0.00377	-0.06231	
188.72972	82.46135	955.80966	78.86819	75.84158	178.83345	0.62328	-0.24455	-0.94725	0.20714	-0.00498	-0.21240	-0.97717	0.96962	-0.24000	0.04722		202.98474	151.32691	1192.17034	-177.62805	86.54832	68.25030	0.46496	0.02231	-0.94332	0.33112	-0.05592	-0.33186	-0.94167	0.99819	0.00249	-0.06016	
189.05242	81.36957	955.96287	78.31178	75.73087	179.36258	0.60721	-0.24646	-0.94674	0.20722	-0.00274	-0.21313	-0.97702	0.96915	-0.24137	0.04993		202.81854	150.40303	1192.28152	-177.31705	86.67683	67.88414	0.46384	0.02182	-0.94300	0.33207	-0.05370	-0.33278	-0.94148	0.99832	0.00271	-0.05790	
189.39819	80.15426	956.16856	77.76453	75.68245	179.91496	0.64058	-0.24730	-0.94661	0.20680	-0.00037	-0.21334	-0.97698	0.96894	-0.24168	0.05241		202.65395	149.45306	1192.40541	-178.69109	86.82760	69.21052	0.46891	0.01964	-0.94274	0.33294	-0.05174	-0.33352	-0.94132	0.99847	0.00126	-0.05533	
189.80846	78.91695	956.32606	77.20645	75.61351	-179.57297	0.63259	-0.24845	-0.94622	0.20722	0.00185	-0.21439	-0.97675	0.96864	-0.24229	0.05502		202.50326	148.41391	1192.60132	179.60931	86.98151	70.85236	0.48643	0.01727	-0.94242	0.33398	-0.04974	-0.33443	-0.94111	0.99861	-0.00036	-0.05266	
190.24622	77.68198	956.48745	76.62176	75.50370	-179.05864	0.62040	-0.25028	-0.94557	0.20800	0.00411	-0.21587	-0.97641	0.96816	-0.24352	0.05792		202.38625	147.33728	1192.72073	179.38213	87.12078	71.03376	0.46903	0.01633	-0.94215	0.33478	-0.04750	-0.33518	-0.94096	0.99874	-0.00054	-0.05023	
